"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1","Normal/Others","WS/	 MP620/2024-2025/133166-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work","08-Jul-2024","497185","09-Jul-2024"
"2","Trust and Society","WS/	 MP620/2025-2026/133167-Construction of rooms and halls in school and colleges","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work","08-Jul-2024","500000","18-Sep-2025"
"3","Trust and Society","WS/	 MP620/2024-2025/133190-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad","08-Jul-2024","450000","23-Sep-2024"
"4","Normal/Others","WS/	 MP620/2025-2026/133191-Construction of buildings for community cultural activities","Karnataka","HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ","08-Jul-2024","1500000","29-May-2025"
"5","Normal/Others","WS/	 MP620/2024-2025/133301-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202","09-Jul-2024","398009","22-Aug-2024"
"6","Normal/Others","WS/	 MP620/2024-2025/133303-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151","09-Jul-2024","399104","25-Jul-2024"
"7","Normal/Others","WS/	 MP620/2024-2025/133304-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96","09-Jul-2024","396154","22-Aug-2024"
"8","Normal/Others","WS/	 MP620/2025-2026/133305-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work","09-Jul-2024","400000","03-Jun-2025"
"9","Normal/Others","WS/	 MP620/2024-2025/133306-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2","09-Jul-2024","495627","14-Mar-2025"
"10","Normal/Others","WS/	 MP620/2024-2025/133307-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319","09-Jul-2024","398955","17-Aug-2024"
