project_id,similar_project_id,state,work_category,similarity_score,potential_duplicate_flag
WS/MP18004/2024-2025/151986,WS/MP18004/2024-2025/152096,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/151986,WS/MP18004/2024-2025/152141,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/151986,WS/MP18004/2024-2025/152143,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/151986,WS/MP18004/2024-2025/152144,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/151986,WS/MP18004/2024-2025/152145,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/151986,WS/MP18004/2024-2025/152146,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/151986,WS/MP18004/2024-2025/152147,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152096,WS/MP18004/2024-2025/152141,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152096,WS/MP18004/2024-2025/152143,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152096,WS/MP18004/2024-2025/152144,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152096,WS/MP18004/2024-2025/152145,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152096,WS/MP18004/2024-2025/152146,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152096,WS/MP18004/2024-2025/152147,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152141,WS/MP18004/2024-2025/152143,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152141,WS/MP18004/2024-2025/152144,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152141,WS/MP18004/2024-2025/152145,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152141,WS/MP18004/2024-2025/152146,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152141,WS/MP18004/2024-2025/152147,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152143,WS/MP18004/2024-2025/152144,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152143,WS/MP18004/2024-2025/152145,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152143,WS/MP18004/2024-2025/152146,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152143,WS/MP18004/2024-2025/152147,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152144,WS/MP18004/2024-2025/152145,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152144,WS/MP18004/2024-2025/152146,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152144,WS/MP18004/2024-2025/152147,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152145,WS/MP18004/2024-2025/152146,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152145,WS/MP18004/2024-2025/152147,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18004/2024-2025/152146,WS/MP18004/2024-2025/152147,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18006/2024-2025/141559,WS/MP18006/2024-2025/141560,Andhra Pradesh,Normal/Others,0.9883,1
WS/MP18006/2024-2025/141561,WS/MP18006/2024-2025/141562,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137048,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137049,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137050,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137051,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137052,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137053,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137054,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137055,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137056,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137057,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137058,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137059,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137060,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137061,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137062,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137047,WS/MP18007/2025-2026/137063,Andhra Pradesh,Normal/Others,1.0,1
