project_id,similar_project_id,similarity_score,potential_duplicate_flag
WS/MP18278/2024-2025/135168,WS/MP18278/2024-2025/135169,1.0,1
WS/MP18278/2024-2025/135168,WS/MP18278/2024-2025/135170,1.0,1
WS/MP18278/2024-2025/135169,WS/MP18278/2024-2025/135170,1.0,1
WS/MP18006/2024-2025/135642,WS/MP18006/2024-2025/135643,0.9207,1
WS/MP18144/2024-2025/135750,WS/MP18144/2024-2025/135751,1.0,1
WS/MP18144/2024-2025/135750,WS/MP18144/2024-2025/135752,1.0,1
WS/MP18144/2024-2025/135750,WS/MP18144/2024-2025/135753,1.0,1
WS/MP18144/2024-2025/135750,WS/MP18144/2024-2025/135754,1.0,1
WS/MP18144/2024-2025/135750,WS/MP18144/2024-2025/135755,1.0,1
WS/MP18144/2024-2025/135750,WS/MP18144/2024-2025/135756,1.0,1
WS/MP18144/2024-2025/135750,WS/MP18144/2024-2025/135757,1.0,1
WS/MP18144/2024-2025/135750,WS/MP18144/2024-2025/135758,1.0,1
WS/MP18144/2024-2025/135751,WS/MP18144/2024-2025/135752,1.0,1
WS/MP18144/2024-2025/135751,WS/MP18144/2024-2025/135753,1.0,1
WS/MP18144/2024-2025/135751,WS/MP18144/2024-2025/135754,1.0,1
WS/MP18144/2024-2025/135751,WS/MP18144/2024-2025/135755,1.0,1
WS/MP18144/2024-2025/135751,WS/MP18144/2024-2025/135756,1.0,1
WS/MP18144/2024-2025/135751,WS/MP18144/2024-2025/135757,1.0,1
WS/MP18144/2024-2025/135751,WS/MP18144/2024-2025/135758,1.0,1
WS/MP18144/2024-2025/135752,WS/MP18144/2024-2025/135753,1.0,1
WS/MP18144/2024-2025/135752,WS/MP18144/2024-2025/135754,1.0,1
WS/MP18144/2024-2025/135752,WS/MP18144/2024-2025/135755,1.0,1
WS/MP18144/2024-2025/135752,WS/MP18144/2024-2025/135756,1.0,1
WS/MP18144/2024-2025/135752,WS/MP18144/2024-2025/135757,1.0,1
WS/MP18144/2024-2025/135752,WS/MP18144/2024-2025/135758,1.0,1
WS/MP18144/2024-2025/135753,WS/MP18144/2024-2025/135754,1.0,1
WS/MP18144/2024-2025/135753,WS/MP18144/2024-2025/135755,1.0,1
WS/MP18144/2024-2025/135753,WS/MP18144/2024-2025/135756,1.0,1
WS/MP18144/2024-2025/135753,WS/MP18144/2024-2025/135757,1.0,1
WS/MP18144/2024-2025/135753,WS/MP18144/2024-2025/135758,1.0,1
WS/MP18144/2024-2025/135754,WS/MP18144/2024-2025/135755,1.0,1
WS/MP18144/2024-2025/135754,WS/MP18144/2024-2025/135756,1.0,1
WS/MP18144/2024-2025/135754,WS/MP18144/2024-2025/135757,1.0,1
WS/MP18144/2024-2025/135754,WS/MP18144/2024-2025/135758,1.0,1
WS/MP18144/2024-2025/135755,WS/MP18144/2024-2025/135756,1.0,1
WS/MP18144/2024-2025/135755,WS/MP18144/2024-2025/135757,1.0,1
WS/MP18144/2024-2025/135755,WS/MP18144/2024-2025/135758,1.0,1
WS/MP18144/2024-2025/135756,WS/MP18144/2024-2025/135757,1.0,1
WS/MP18144/2024-2025/135756,WS/MP18144/2024-2025/135758,1.0,1
WS/MP18144/2024-2025/135757,WS/MP18144/2024-2025/135758,1.0,1
WS/MP18065/2024-2025/135796,WS/MP18065/2024-2025/135797,1.0,1
WS/MP18065/2024-2025/135798,WS/MP18065/2024-2025/135799,1.0,1
WS/MP643/2024-2025/135908,WS/MP643/2024-2025/135909,1.0,1
WS/MP643/2024-2025/135908,WS/MP643/2024-2025/135911,1.0,1
WS/MP643/2024-2025/135908,WS/MP643/2024-2025/135912,1.0,1
WS/MP643/2024-2025/135908,WS/MP643/2024-2025/135914,1.0,1
WS/MP643/2024-2025/135908,WS/MP643/2024-2025/135915,1.0,1
WS/MP643/2024-2025/135908,WS/MP643/2024-2025/135916,1.0,1
WS/MP643/2024-2025/135908,WS/MP643/2024-2025/135917,1.0,1
WS/MP643/2024-2025/135909,WS/MP643/2024-2025/135911,1.0,1
WS/MP643/2024-2025/135909,WS/MP643/2024-2025/135912,1.0,1
WS/MP643/2024-2025/135909,WS/MP643/2024-2025/135914,1.0,1
WS/MP643/2024-2025/135909,WS/MP643/2024-2025/135915,1.0,1
WS/MP643/2024-2025/135909,WS/MP643/2024-2025/135916,1.0,1
WS/MP643/2024-2025/135909,WS/MP643/2024-2025/135917,1.0,1
WS/MP643/2024-2025/135911,WS/MP643/2024-2025/135912,1.0,1
WS/MP643/2024-2025/135911,WS/MP643/2024-2025/135914,1.0,1
WS/MP643/2024-2025/135911,WS/MP643/2024-2025/135915,1.0,1
WS/MP643/2024-2025/135911,WS/MP643/2024-2025/135916,1.0,1
WS/MP643/2024-2025/135911,WS/MP643/2024-2025/135917,1.0,1
WS/MP643/2024-2025/135912,WS/MP643/2024-2025/135914,1.0,1
WS/MP643/2024-2025/135912,WS/MP643/2024-2025/135915,1.0,1
WS/MP643/2024-2025/135912,WS/MP643/2024-2025/135916,1.0,1
WS/MP643/2024-2025/135912,WS/MP643/2024-2025/135917,1.0,1
WS/MP643/2024-2025/135914,WS/MP643/2024-2025/135915,1.0,1
WS/MP643/2024-2025/135914,WS/MP643/2024-2025/135916,1.0,1
WS/MP643/2024-2025/135914,WS/MP643/2024-2025/135917,1.0,1
WS/MP643/2024-2025/135915,WS/MP643/2024-2025/135916,1.0,1
WS/MP643/2024-2025/135915,WS/MP643/2024-2025/135917,1.0,1
WS/MP643/2024-2025/135916,WS/MP643/2024-2025/135917,1.0,1
WS/MP552/2024-2025/135978,WS/MP552/2024-2025/135979,0.9312,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/135994,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/135995,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/135996,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/135997,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/135998,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/135999,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/136000,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/136001,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/136002,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/136003,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/136004,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/136005,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/136006,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/136007,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/136008,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/136009,1.0,1
WS/MP643/2024-2025/135993,WS/MP643/2024-2025/136010,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/135995,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/135996,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/135997,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/135998,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/135999,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/136000,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/136001,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/136002,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/136003,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/136004,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/136005,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/136006,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/136007,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/136008,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/136009,1.0,1
WS/MP643/2024-2025/135994,WS/MP643/2024-2025/136010,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/135996,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/135997,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/135998,1.0,1
WS/MP643/2024-2025/135995,WS/MP643/2024-2025/135999,1.0,1
