sr._no.,work_category,work,state,ida,hon'ble_members_of_parliament,constituency,work_description,recommended_date_x,sanction_date,sanction_amount__₹_,work_status,project_id,recommended_date_y,recommended_amount____₹_,completion_date,amount_disbursed__₹_,total_expenditure,payment_count,latest_payment_date,completed_flag,fund_utilization,expenditure_ratio,project_age_days,over_budget,missing_completion,iqr_anomaly_flag
1648,Normal/Others,WS/MP479/2024-2025/138772-Development of playground,West Bengal,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),Saumitra khan,BISHNUPUR(SC),Boundary fencing & 4Nos.of Solar Lights,04-Sep-2024,2024-12-13,2774787.0,Physical Inspection,WS/MP479/2024-2025/138772,04-Sep-2024,2774787.0,2026-08-10,2774787.0,2774787.0,1.0,2026-05-19,1,1.0,1.0,634.0,0,0,1
2093,Normal/Others,WS/MP18019/2026-2027/139500-Construction of community centers and community halls,Assam,DIMA HASAO(DEPUTY COMMISSIONER Dima Hasao_IDA),AMARSING TISSO,Diphu (ST),"Construction of Community Building with Library, Guest Room, Conference Room at Haflong, Dima Hasao District (Total Estd. Cost:- Rs. 1.00 Cr.) 1st Installment Rs. 50.00 Lakhs",06-Sep-2024,2026-07-31,5000000.0,Physical Inspection,WS/MP18019/2026-2027/139500,06-Sep-2024,5000000.0,,,4998740.0,2.0,2026-08-09,0,0.999748,0.999748,39.0,0,1,1
2120,Normal/Others,WS/MP823/2024-2025/139556-Construction of rooms and halls in school and colleges,West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,"Decoration of Smart Class Room at Asannagar MMT College under Asannagar GP, Block Krishnagar-I, Nadia.",07-Sep-2024,2025-01-27,1938436.0,Physical Inspection,WS/MP823/2024-2025/139556,07-Sep-2024,1938436.0,2026-01-30,1938436.0,1938436.0,1.0,2026-01-13,1,1.0,1.0,589.0,0,0,1
4177,Normal/Others,"WS/MP18307/2025-2026/143603-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,"Ward 2 -Construction of Drains and footpaths at Sai Kripa Chawl, Sambhaji Nagar, Dubey Chawl, Babli Pada, Tare Compound, Raja Ram Mhatre Chawl  Bharwad Chawl Dahisar",25-Sep-2024,2026-01-30,2500000.0,Work partially Completed,WS/MP18307/2025-2026/143603,25-Sep-2024,2500000.0,,,2498104.0,1.0,2026-08-19,0,0.9992416,0.9992416,221.0,0,1,1
4178,Normal/Others,WS/MP18307/2025-2026/143606-Construction of public toilets and bathrooms,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Ward 30 - Construction of Toilets at  Iraniwadi Charkop Kandivali (West),25-Sep-2024,2026-01-30,2000000.0,Work partially Completed,WS/MP18307/2025-2026/143606,25-Sep-2024,2000000.0,,,1998482.0,1.0,2026-08-04,0,0.999241,0.999241,221.0,0,1,1
4179,Normal/Others,"WS/MP18307/2025-2026/143607-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,"Ward 7 -   Construction of Sewer and CC Passage Loading at Brahmadev Tiwari Chawl, Shagun Hotel, Nawagaon, Dahisar",25-Sep-2024,2026-03-25,2000000.0,Work partially Completed,WS/MP18307/2025-2026/143607,25-Sep-2024,2000000.0,,,1998481.0,1.0,2026-07-03,0,0.9992405,0.9992405,167.0,0,1,1
4180,Normal/Others,WS/MP18307/2025-2026/143608-Construction of public toilets and bathrooms,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Ward 36- Re-construction of Toilet at near Madras Pada Kandivali (East),25-Sep-2024,2026-01-30,2000000.0,Work partially Completed,WS/MP18307/2025-2026/143608,25-Sep-2024,2000000.0,,,1998482.0,1.0,2026-08-19,0,0.999241,0.999241,221.0,0,1,1
4440,Normal/Others,WS/MP18323/2026-2027/144120-Construction of community centers and community halls,Maharashtra,LATUR(DISTRICT COLLECTOR LATUR_IDA),DR KALGE SHIVAJI BANDAPPA,LATUR(SC),"Construction of  Community centre /Hall in Municipal Corporation / Govt owned open space in front of Rudra Hanuman temple at ward No.02, Rudreshwar Nagar ( E), Latur Municipal Corporation",27-Sep-2024,2026-05-22,1991059.0,Physical Inspection,WS/MP18323/2026-2027/144120,27-Sep-2024,1991059.0,,,1991059.0,1.0,2026-05-22,0,1.0,1.0,109.0,0,1,1
5069,Normal/Others,WS/MP18308/2025-2026/145424-Construction of community centers and community halls,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,"Construction of Sabhamandap Near Shri Krushna Nagar SRA Parisar, Building No.2, Goregaon (E)",08-Oct-2024,2026-01-20,1800000.0,Vendor Identification,WS/MP18308/2025-2026/145424,,,,,1798634.0,1.0,2026-01-23,0,0.9992411111111112,,231.0,0,1,1
5070,Normal/Others,WS/MP18308/2025-2026/145425-Construction of toilet blocks,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,"Construction of 14 seated Toilet block at Shri Hanuman Tekadi Seva Mandal, Shankar Desai Chawl, Tanaji Nagar, Malad (E)",08-Oct-2024,2026-03-25,2100000.0,Work partially Completed,WS/MP18308/2025-2026/145425,,,,,2098407.0,1.0,2026-08-05,0,0.9992414285714286,,167.0,0,1,1
5072,Normal/Others,"WS/MP18308/2025-2026/145427-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,"Construction of Poch Rasta and Shed at Nagsen Chawl, Kranti Nagar, Ward No.39, Malad (E)",08-Oct-2024,2026-01-20,3000000.0,Vendor Identification,WS/MP18308/2025-2026/145427,,,,,2995469.0,1.0,2026-01-27,0,0.9984896666666668,,231.0,0,1,1
5074,Normal/Others,WS/MP18308/2025-2026/145430-Construction of community centers and community halls,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,"Construction of Samaj Mandir, at Shri Sai Chawl  committee , Tanaji Nagar, Kurar Village, Malad (E)",08-Oct-2024,2026-03-25,2000000.0,Work partially Completed,WS/MP18308/2025-2026/145430,,,,,1998481.0,1.0,2026-08-04,0,0.9992405,,167.0,0,1,1
5629,Normal/Others,"WS/MP18307/2025-2026/146575-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Ward 27  - Construction of of Sewerage and CC Passage at Nirmal Chawl Kandivali (East),09-Oct-2024,2026-01-30,2000000.0,Work partially Completed,WS/MP18307/2025-2026/146575,,,,,1998482.0,1.0,2026-08-19,0,0.999241,,221.0,0,1,1
5999,Normal/Others,"WS/MP18095/2025-2026/147281-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),K. C VENUGOPAL,ALAPPUZHA,Construction of Valiyaveettil Chooravila Road in the 11th ward of Chingoli GP (SCP),22-Oct-2024,2026-02-11,2884733.0,Physical Inspection,WS/MP18095/2025-2026/147281,,,2026-03-06,2884733.0,2884733.0,1.0,2026-03-07,1,1.0,,209.0,0,0,1
6896,Normal/Others,"WS/MP18095/2025-2026/148832-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),K. C VENUGOPAL,ALAPPUZHA,Formation of Manakkattu Menatheri Road in the 29th ward of Kayamkulam Municipality (SCP),22-Oct-2024,2026-02-02,2000000.0,Work Completed,WS/MP18095/2025-2026/148832,,,2026-04-24,1995303.0,1995303.0,2.0,2026-04-24,1,0.9976515,,218.0,0,0,1
7119,Normal/Others,WS/MP18175/2024-2025/149209-Construction of buildings for crèches and anganwadies,Tamil Nadu,DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA),MANI. A.,DHARAMAPURI,Construciton of Anganwadi Building at Sekkandahalli village Kambainallur Town Panchayat,23-Oct-2024,2024-12-12,1655000.0,Physical Inspection,WS/MP18175/2024-2025/149209,,,2026-08-18,1655000.0,1655000.0,1.0,2026-02-05,1,1.0,,635.0,0,0,1
7121,Normal/Others,WS/MP18175/2024-2025/149219-Construction of buildings for crèches and anganwadies,Tamil Nadu,DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA),MANI. A.,DHARAMAPURI,Construciton of Angwadi building at Pudhu reddiyur Kadathur Town Panchayat,23-Oct-2024,2024-12-19,1655000.0,Physical Inspection,WS/MP18175/2024-2025/149219,,,2026-08-17,1655000.0,1655000.0,1.0,2026-01-29,1,1.0,,628.0,0,0,1
7169,Normal/Others,WS/MP18177/2024-2025/149344-Construction of public staircase/ stair ghat for public convenience,Tamil Nadu,NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA),K E PRAKASH,ERODE,Construction of Bathing Ghat at ward No:4 on the river bank behind Angalamman Temple in Kumarapalayam Municipality 2024- 2025,25-Oct-2024,2024-11-20,2000000.0,Physical Inspection,WS/MP18177/2024-2025/149344,,,2026-07-10,2000000.0,2000000.0,1.0,2026-07-06,1,1.0,,657.0,0,0,1
7380,Normal/Others,WS/MP458/2025-2026/149732-Construction of community centers and community halls,Tamil Nadu,Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),Kanimozhi Karunanidhi,THOOTHUKKUDI,Construction of Community Hall at Kilavipatti Village and Panchayat  Kovilpatti Panchayat Union,02-Nov-2024,2025-12-16,4000000.0,Work partially Completed,WS/MP458/2025-2026/149732,,,,,2709989.0,1.0,2026-01-05,0,0.67749725,,266.0,0,1,1
7420,Normal/Others,WS/MP18277/2025-2026/149810-Construction of community centers and community halls,West Bengal,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),AZAD KIRTI JHA,BARDHAMAN-DURGAPUR,"Construction of community hall at Bhatar bazar Plot No:2816/2817/2806, JL No:-63, Mouza:-Palar",29-Oct-2024,2025-05-21,10000000.0,Vendor Identification,WS/MP18277/2025-2026/149810,,,,,5758516.0,1.0,2026-03-24,0,0.5758516,,475.0,0,1,1
7581,Normal/Others,WS/MP458/2025-2026/150048-Construction of community centers and community halls,Tamil Nadu,Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),Kanimozhi Karunanidhi,THOOTHUKKUDI,Construction of Community Hall at Pommaiahpuram Village in Sakkammalpuram Panchayat Vilathikulam Panchayat Union,02-Nov-2024,2026-02-23,3999840.0,Physical Inspection,WS/MP458/2025-2026/150048,,,2026-03-10,3999840.0,3999840.0,1.0,2026-03-10,1,1.0,,197.0,0,0,1
7582,Normal/Others,WS/MP458/2025-2026/150051-Construction of community centers and community halls,Tamil Nadu,Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),Kanimozhi Karunanidhi,THOOTHUKKUDI,Construction of Community Hall at Arunthathiyar street in Sivagnanapuram Village and Panchayat in Vilathikulam Panchayat Union,02-Nov-2024,2026-02-06,1998754.0,Physical Inspection,WS/MP458/2025-2026/150051,,,2026-02-13,1998754.0,1998754.0,1.0,2026-02-16,1,1.0,,214.0,0,0,1
7588,Normal/Others,WS/MP458/2026-2027/150074-Construction of water tanks,Tamil Nadu,Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA),Kanimozhi Karunanidhi,THOOTHUKKUDI,Construction of 100000 litre capacity of OHT at Adithanar colony in Kayamozhi Panchayat in Tiruchendur Union,02-Nov-2024,2026-05-21,3000000.0,Vendor Identification,WS/MP458/2026-2027/150074,,,,,3000000.0,1.0,2026-05-29,0,1.0,,110.0,0,1,1
8429,Normal/Others,WS/MP719/2025-2026/151460-Construction of community centers and community halls,Rajasthan,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,"Construction of community Halls at ward no. 55, ajmer south assembly constituency.",08-Nov-2024,2025-08-22,5100000.0,Vendor Identification,WS/MP719/2025-2026/151460,,,,,2016972.0,1.0,2026-05-21,0,0.3954847058823529,,382.0,0,1,1
8880,Normal/Others,WS/MP18049/2025-2026/152172-Construction of common work sheds/ common covered sitting area,Chhattisgarh,BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA),TOKHAN SAHU,BILASPUR,Chhattisgarh H.S.School Bilaspur me Shed Nirman,13-Nov-2024,2025-05-26,1600000.0,Physical Inspection,WS/MP18049/2025-2026/152172,,,2026-08-11,1600000.0,1600000.0,1.0,2026-08-11,1,1.0,,470.0,0,0,1
8904,Normal/Others,WS/MP18049/2024-2025/152243-Construction of buildings for community cultural activities,Chhattisgarh,MUNGELI(Collector Mungeli_IDA),TOKHAN SAHU,BILASPUR,Sanskritik Bhawan Nirman Kary Salpha,13-Nov-2024,2024-12-12,2500000.0,Vendor Identification,WS/MP18049/2024-2025/152243,,,,,2148258.0,2.0,2026-01-29,0,0.8593032,,635.0,0,1,1
9343,Normal/Others,WS/MP755/2026-2027/152826-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Tamil Nadu,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),Thalikkottai Rajuthevar Baalu,SRIPERUMBUDUR,Construction of Kaariya Mandapam.,16-Nov-2024,2026-06-22,2500000.0,Physical Inspection,WS/MP755/2026-2027/152826,,,,,1737977.0,1.0,2026-06-23,0,0.6951908,,78.0,0,1,1
9470,Normal/Others,WS/MP823/2025-2026/152969-Construction of culverts and bridges,West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),Ms Mahua Moitra,KRISHNANAGAR,Construction of Culvert connect of Gobindapur sansad to Tarakganj sansad at the river of voirab  at Dighalkandi GP Under Karimpur-II Block.(PHASE-I),18-Nov-2024,2025-04-03,4924873.0,Physical Inspection,WS/MP823/2025-2026/152969,,,2026-09-02,4924873.0,4924873.0,2.0,2026-07-24,1,1.0,,523.0,0,0,1
