sr._no.,work_category,work,state,ida,hon'ble_members_of_parliament,constituency,work_description,recommended_date_x,sanction_date,sanction_amount__₹_,work_status,project_id,recommended_date_y,recommended_amount____₹_,completion_date,amount_disbursed__₹_,total_expenditure,payment_count,latest_payment_date,completed_flag,fund_utilization,expenditure_ratio,project_age_days,over_budget,missing_completion,anomaly_prediction,cost_anomaly_flag,anomaly_score,anomaly_reason
18,Normal/Others,"WS/MP577/2025-2026/133549-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khnagela game mota faliya ma c.c.road nu kam,17-Jul-2024,2025-04-11,250000.0,Physical Inspection,WS/MP577/2025-2026/133549,17-Jul-2024,250000.0,2026-02-21,250000.0,250000.0,1.0,2026-02-21,1,1.0,1.0,515.0,0,0,1,0,0.202799643464388,Detected by Isolation Forest pattern analysis
20,Normal/Others,"WS/MP577/2025-2026/133551-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khangela game dharmesh na ghar taraf jata rasta par c.c.road nu kam,17-Jul-2024,2025-10-17,242105.0,Physical Inspection,WS/MP577/2025-2026/133551,17-Jul-2024,242105.0,2026-02-21,242105.0,242105.0,1.0,2026-02-21,1,1.0,1.0,326.0,0,0,1,0,0.15957055793328795,Detected by Isolation Forest pattern analysis
31,Normal/Others,"WS/MP577/2025-2026/133563-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),chandawada game toranvali mahudi faliya ma c.c.road nu kam,17-Jul-2024,2025-10-07,245697.0,Physical Inspection,WS/MP577/2025-2026/133563,17-Jul-2024,245697.0,2026-09-01,245356.0,245356.0,1.0,2026-08-29,1,0.9986121116659952,0.9986121116659952,336.0,0,0,1,0,0.1445215363212829,Detected by Isolation Forest pattern analysis
33,Normal/Others,"WS/MP577/2025-2026/133565-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),simaliya khurd  game gamtal thi majubhai na ghar sudhi c.c.road nu kam,17-Jul-2024,2025-04-11,250000.0,Physical Inspection,WS/MP577/2025-2026/133565,17-Jul-2024,250000.0,2026-02-06,250000.0,250000.0,1.0,2026-02-06,1,1.0,1.0,515.0,0,0,1,0,0.202799643464388,Detected by Isolation Forest pattern analysis
35,Normal/Others,"WS/MP577/2025-2026/133567-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),bhutodi game mohaniya  faliya ma c.c.road nu kam,17-Jul-2024,2025-10-17,245098.0,Physical Inspection,WS/MP577/2025-2026/133567,17-Jul-2024,245098.0,2026-05-06,245098.0,245098.0,1.0,2026-05-06,1,1.0,1.0,326.0,0,0,1,0,0.15957055793328795,Detected by Isolation Forest pattern analysis
37,Normal/Others,"WS/MP577/2025-2026/133569-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khangela game paka rasta thi dineshbai gundiya  na ghar sudhi c.c.road nu kam,17-Jul-2024,2025-04-11,250000.0,Physical Inspection,WS/MP577/2025-2026/133569,17-Jul-2024,250000.0,2026-02-21,250000.0,250000.0,1.0,2026-02-21,1,1.0,1.0,515.0,0,0,1,0,0.202799643464388,Detected by Isolation Forest pattern analysis
47,Normal/Others,"WS/MP577/2025-2026/133579-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),bhutardi game bhuriya faliya ma c.c.road nu kam,17-Jul-2024,2025-10-04,247496.0,Physical Inspection,WS/MP577/2025-2026/133579,17-Jul-2024,247496.0,,,247496.0,1.0,2026-08-11,0,1.0,1.0,339.0,0,1,1,0,0.15992165639493078,Detected by Isolation Forest pattern analysis
52,Normal/Others,"WS/MP577/2024-2025/133584-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),vajelav game sarpanch faliya ma c.c.road nu kam,17-Jul-2024,2025-03-27,249291.0,Physical Inspection,WS/MP577/2024-2025/133584,17-Jul-2024,249291.0,2026-08-22,249291.0,249291.0,1.0,2026-07-03,1,1.0,1.0,530.0,0,0,1,0,0.20374572320032458,Detected by Isolation Forest pattern analysis
53,Normal/Others,"WS/MP577/2024-2025/133585-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),matwa game navi vsahat thi badarbhai plas na ghar sudhi c.c.road nu kam,17-Jul-2024,2025-03-27,250000.0,Physical Inspection,WS/MP577/2024-2025/133585,17-Jul-2024,250000.0,2026-08-22,249291.0,249291.0,1.0,2026-06-24,1,0.997164,0.997164,530.0,0,0,1,0,0.1832537446265548,Detected by Isolation Forest pattern analysis
56,Normal/Others,"WS/MP577/2024-2025/133588-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),rayan panchayat limbu faliya thi lilva talavne jodto c.c.road nu kam,17-Jul-2024,2025-03-27,250000.0,Physical Inspection,WS/MP577/2024-2025/133588,17-Jul-2024,250000.0,2026-08-23,249291.0,249291.0,1.0,2026-07-02,1,0.997164,0.997164,530.0,0,0,1,0,0.1832537446265548,Detected by Isolation Forest pattern analysis
59,Normal/Others,"WS/MP577/2025-2026/133591-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),abhlod game umriya umariya faliya thi pranmji mandir par c.c.road nu kam,17-Jul-2024,2026-01-12,250000.0,Physical Inspection,WS/MP577/2025-2026/133591,17-Jul-2024,250000.0,2026-08-21,248443.0,248443.0,1.0,2026-07-02,1,0.993772,0.993772,239.0,0,0,1,0,0.1173261247671622,Detected by Isolation Forest pattern analysis
